url,category_code,category_description
http://www.aliwaa.com/,NEWS,News and media
http://www.annahar.com/,NEWS,News and media
http://www.albaladonline.com/,NEWS,News and media
http://assafir.com/,NEWS,News and media
http://www.lade.org.lb/,NEWS,News and media
http://www.al-akhbar.com/,NEWS,News and media
http://www.tarbaweya.org/,NEWS,News and media
http://www.alankabout.com/,NEWS,News and media
http://www.nbn.com.lb/,NEWS,News and media
http://www.otv.com.lb/beta/,NEWS,News and media
http://www.inbaa.com/,NEWS,News and media
http://www.almustaqbal.com/,NEWS,News and media
http://www.aljoumhouria.com/,NEWS,News and media
http://www.alanwar.com/,NEWS,News and media
http://www.el-kalima.com/index.php,NEWS,News and media
http://www.alanwar.com/,NEWS,News and media
http://www.al-inshaa.com/news.php,NEWS,News and media
http://www.attamaddon.com/new/news.php,NEWS,News and media
http://al-aman.com/,NEWS,News and media
http://www.elsharkonline.com/,NEWS,News and media
http://www.addiyar.com/,NEWS,News and media
http://www.naharnet.com/,NEWS,News and media
https://now.mmedia.me/lb/ar,NEWS,News and media
http://www.lebaneseexaminer.com/,NEWS,News and media
http://www.lebanon24.com/,NEWS,News and media
http://vdl.com.lb/new/,NEWS,News and media
http://www.farahnews.com/,NEWS,News and media
http://beirutbizreport.com/,NEWS,News and media
http://www.elnashra.com/,NEWS,News and media
http://www.lebanese-forces.com/,NEWS,News and media
http://www.lebanonwire.com/,NEWS,News and media
http://www.iloubnan.info/ar/,NEWS,News and media
http://yalibnan.com/,NEWS,News and media
http://www.lebanon.com/,NEWS,News and media
http://www.14march.org/,NEWS,News and media
http://www.albayanlebanon.com/new/site.php,NEWS,News and media
http://www.alhadassonline.com/,NEWS,News and media
http://arabweek.com.lb/,NEWS,News and media
http://www.ayanews.com/,NEWS,News and media
http://elmarada.org/,NEWS,News and media
http://www.kataeb.org/,NEWS,News and media
http://www.lebanonfiles.com/,NEWS,News and media
https://www.onlylebanon.net/,NEWS,News and media
http://www.alhadathnews.net/,NEWS,News and media
http://www.saidaonline.com/,NEWS,News and media
http://www.tayyar.org/,NEWS,News and media
http://www.otv.com.lb/beta/,NEWS,News and media
http://www.al-binaa.com/,NEWS,News and media
http://news.google.com.lb/,NEWS,News and media
http://www.farah.net.au/,NEWS,News and media
http://www.al-awassef.com/,NEWS,News and media
http://www.7akisa7.com/,NEWS,News and media
http://www.dailystar.com.lb/,NEWS,News and media
http://www.lorientlejour.com/,NEWS,News and media
http://bintjbeil.org/,NEWS,News and media
http://www.lebanonfiles.com/,NEWS,News and media
http://www.lebanondebate.com/,NEWS,News and media
http://www.yasour.org/,NEWS,News and media
http://saidacity.net/,NEWS,News and media
http://asianewslb.com/,NEWS,News and media
http://www.alkalimaonline.com/,NEWS,News and media
https://sawtaljabal.com/news/,NEWS,News and media
http://akhbarlelnasher.com/,NEWS,News and media
http://slabnews.com/main.php,NEWS,News and media
http://www.alshiraa.com/,NEWS,News and media
http://southlb.com/,NEWS,News and media
https://now.mmedia.me/lb/en,NEWS,News and media
http://youkal.net/,NEWS,News and media
http://topnews-nasserkandil.com/final/HomePage.php,NEWS,News and media
http://www.beirutobserver.com/,NEWS,News and media
http://www.annabaa.org/,NEWS,News and media
http://www.neworientnews.com/,NEWS,News and media
http://www.cedarnews.net/,NEWS,News and media
http://www.lebanonpost.com/,NEWS,News and media
http://www.almassira.com/,NEWS,News and media
http://www.almarkazia.com/,NEWS,News and media
http://www.imarwaiktissad.com/,NEWS,News and media
http://www.executive-magazine.com/,NEWS,News and media
http://www.elfann.com/,NEWS,News and media
http://jarayid.com/,NEWS,News and media
http://www.lebweb.com/,NEWS,News and media
http://www.7asriyan.com/,NEWS,News and media
http://www.alblebanon.com/,NEWS,News and media
http://bisara7a.com/,NEWS,News and media
http://www.el-kalima.com/index.php,NEWS,News and media
http://mtv.com.lb/,NEWS,News and media
http://aljadeed.tv/arabic,NEWS,News and media
http://www.futuretvnetwork.com/,NEWS,News and media
http://www.lbcgroup.tv/,NEWS,News and media
http://alnour.com.lb/,NEWS,News and media
http://sawtbeirut.com/,NEWS,News and media
http://www.ahrarnews.com/new/,NEWS,News and media
http://www.lkdg.org/,NEWS,News and media
http://www.eliehobeika.com/,NEWS,News and media
http://www.loubnanouna.org/,NEWS,News and media
http://www.aramaic-dem.org/,NEWS,News and media
http://www.raymondedde.org/org_const.html,NEWS,News and media
http://www.elmarada.com/,NEWS,News and media
http://www.mouvement2010.com/,NEWS,News and media
http://levant-party.org/ar/,NEWS,News and media
http://www.amal-movement.com/,NEWS,News and media
http://www.alquran-network.net/,NEWS,News and media
http://www.afwajamal.com/news/index.php,NEWS,News and media
http://anbaaonline.com/,NEWS,News and media
http://www.chi3a.org/,NEWS,News and media
http://www.lebaneseoption.org/ar/,NEWS,News and media
http://www.tayyaralassaadi.org/en,NEWS,News and media
http://jam3.org/,NEWS,News and media
http://www.aicp.org/,NEWS,News and media
http://www.ettihad.org/,NEWS,News and media
http://www.najjadeh.org/index.php,NEWS,News and media
http://www.altawhid.org/,NEWS,News and media
http://www.kamalchatila.org/,NEWS,News and media
http://www.shabibe.com/,NEWS,News and media
http://www.syriac-union.org/web/main.php,NEWS,News and media
http://www.al-jamaa.org/,NEWS,News and media
http://alhiwarnewspaper.com/ar/,NEWS,News and media
http://www.almustaqbal.org/,NEWS,News and media
http://ldparty.org/leb/,NEWS,News and media
http://www.irparty.org/,NEWS,News and media
http://nidalmovement.org/,NEWS,News and media
http://www.tawhidarabi.org/,NEWS,News and media
http://taleaalebanon.com/,NEWS,News and media
http://ssnp.net/,NEWS,News and media
http://www.almourabitoun.com/,NEWS,News and media
http://www.nasseryounahrar.org/,NEWS,News and media
http://www.shabibe.com/,NEWS,News and media
http://www.lcparty.org/,NEWS,News and media
http://al-manshour.org/,NEWS,News and media
http://www.shaabi.org/,NEWS,News and media
http://www.aljabha.org/,NEWS,News and media
http://www.shaabonline.org/,NEWS,News and media
http://www.lebwindow.net/,NEWS,News and media
http://saadhariri.com,NEWS,News and media
http://www.imlebanon.org/,NEWS,News and media
